School Name,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,SPED
Arcola ES,693,50.8,49.2,≤5.0,8.5,18.2,69.7,≤5.0,≤5.0,≤5.0,46,74.7,10.5
Ashburton ES,907,52,48,≤5.0,16.2,14.8,14,≤5.0,45,9.4,14.9,11.8,12.8
Bannockburn ES,420,53.1,46.9,≤5.0,11,≤5.0,10,≤5.0,67.4,9,11,≤5.0,≤5.0
Lucy V. Barnsley ES,710,57.7,42.3,≤5.0,13.7,9.6,31.5,≤5.0,38.2,7,13.4,27.6,15.2
Beall ES,824,53.9,46.1,≤5.0,22.5,13.5,21.4,≤5.0,35.6,6.7,17.5,27.3,9.2
Bel Pre ES,574,55.6,44.4,≤5.0,7.8,36.8,46,≤5.0,5.7,≤5.0,51.6,71.4,7
Bells Mill ES,626,49.4,50.6,≤5.0,26.4,10.7,10.1,≤5.0,46.3,6.4,12.1,11,9.4
Belmont ES,314,49,51,≤5.0,7.3,≤5.0,10.5,≤5.0,72.6,≤5.0,≤5.0,6.1,8.3
Bethesda ES,556,54.5,45.5,≤5.0,14.7,6.5,9.9,≤5.0,62.2,6.7,17.4,7.6,12.1
Beverly Farms ES,597,49.7,50.3,≤5.0,29.5,7.7,9.7,≤5.0,46.4,6.5,8,6.2,7.4
Bradley Hills ES,626,52.4,47.6,≤5.0,10.5,≤5.0,9.9,≤5.0,67.1,10.9,7,≤5.0,≤5.0
Brooke Grove ES,386,49.2,50.8,≤5.0,15.8,19.9,14.5,≤5.0,46.4,≤5.0,11.9,22.5,19.9
Brookhaven ES,443,56.7,43.3,≤5.0,6.8,33.6,48.1,≤5.0,8.8,≤5.0,38.6,68.6,19.6
Brown Station ES,499,52.5,47.5,≤5.0,11.4,33.1,43.7,≤5.0,6.4,5.2,31.9,68.7,13
Burning Tree ES,497,56.7,43.3,≤5.0,17.9,≤5.0,7.4,≤5.0,60.4,9.5,12.9,6,16.7
Burnt Mills ES,531,51.8,48.2,≤5.0,≤5.0,63.3,22.2,≤5.0,7.2,≤5.0,26.4,66.7,8.7
Burtonsville ES,613,55.5,44.5,≤5.0,14.2,61.8,14.8,≤5.0,5.5,≤5.0,11.6,47.3,≤5.0
Candlewood ES,356,50,50,≤5.0,19.1,13.8,21.3,≤5.0,40.2,5.1,15.2,23,6.2
Cannon Road ES,434,53,47,≤5.0,8.8,39.6,44.7,≤5.0,≤5.0,≤5.0,10.6,66.1,10.8
Carderock Springs ES,406,51,49,≤5.0,17,≤5.0,8.4,≤5.0,66,5.2,7.4,≤5.0,9.4
Rachel Carson ES,1046,48.9,51.1,≤5.0,15.3,6.3,20.5,≤5.0,50.8,7.2,14.1,20.5,9.9
Cashell ES,369,52.3,47.7,≤5.0,9.5,12.5,23,≤5.0,46.3,8.7,9.2,23.3,13.8
Cedar Grove ES,582,50,50,≤5.0,39.3,10,10.5,≤5.0,33.8,6,8.9,9.3,8.1
Chevy Chase ES,558,50.9,49.1,≤5.0,6.6,14.9,10.6,≤5.0,62.2,5.7,9,17.7,6.3
Clarksburg ES,309,54,46,≤5.0,34.6,17.5,14.9,≤5.0,24.9,7.8,12.9,13.6,8.4
Clearspring ES,624,55.4,44.6,≤5.0,14.7,15.2,20.5,≤5.0,40.2,9.3,10.4,29.8,14.3
Clopper Mill ES,488,48.8,51.2,≤5.0,6.1,36.3,44.9,≤5.0,8.4,≤5.0,25.2,68.4,12.1
Cloverly ES,466,56,44,≤5.0,17.8,22.7,20.8,≤5.0,29.8,8.6,12.9,23.2,17.6
Cold Spring ES,333,52.6,47.4,≤5.0,40.2,≤5.0,7.8,≤5.0,41.1,6.9,≤5.0,≤5.0,≤5.0
College Gardens ES,888,51.1,48.9,≤5.0,21.1,18.5,15.2,≤5.0,37.6,7.1,17.7,14.1,5.2
Cresthaven ES,510,53.9,46.1,≤5.0,13.9,35.7,45.7,≤5.0,≤5.0,≤5.0,25.9,77.1,13.3
Capt. James E. Daly ES,596,47.7,52.3,≤5.0,7.6,35.2,45.3,≤5.0,8.2,≤5.0,39.3,71.3,10.4
Damascus ES,336,42.9,57.1,≤5.0,≤5.0,6.3,26.5,≤5.0,56.8,6.3,17.6,26.8,14.9
Darnestown ES,287,53,47,≤5.0,9.4,≤5.0,5.9,≤5.0,74.2,5.6,≤5.0,7.3,5.9
Diamond ES,665,52.8,47.2,≤5.0,44.5,9.6,12.3,≤5.0,28.9,≤5.0,24.7,10.2,9.8
Dr. Charles R. Drew ES,488,51,49,≤5.0,17.8,44.9,21.1,≤5.0,9.4,6.6,20.9,50,12.9
DuFief ES,313,49.5,50.5,≤5.0,31,7.3,12.1,≤5.0,42.8,6.7,12.5,14.4,23.6
East Silver Spring ES,554,50.9,49.1,≤5.0,≤5.0,56,20.4,≤5.0,15.7,≤5.0,31,55.6,12.6
Fairland ES,643,48.8,51.2,≤5.0,8.1,56.6,24.6,≤5.0,7.8,≤5.0,22.7,57.5,9.3
Fallsmead ES,535,51.2,48.8,≤5.0,32.7,6.9,8,≤5.0,46.2,5.8,12,8.4,6.4
Farmland ES,686,53.6,46.4,≤5.0,32.5,5.2,9,≤5.0,47.7,5.2,32.8,7.3,8.5
Fields Road ES,464,51.1,48.9,≤5.0,15.5,20.9,28.2,≤5.0,30.2,≤5.0,22.2,41.8,11.6
Flower Hill ES,493,56.2,43.8,≤5.0,13,30.8,44,≤5.0,8.1,≤5.0,35.9,64.9,15.4
Flower Valley ES,496,50.8,49.2,≤5.0,10.5,14.3,24.6,≤5.0,45.4,5.2,16.9,28.2,15.3
Forest Knolls ES,753,53.1,46.9,≤5.0,7.3,14.6,41.3,≤5.0,31.1,5.7,22.7,37.5,9.7
Fox Chapel ES,635,52.8,47.2,≤5.0,17,26.5,42.8,≤5.0,10.1,≤5.0,32.4,53.2,7.6
Gaithersburg ES,863,53.5,46.5,≤5.0,≤5.0,15.8,73.8,≤5.0,5.1,≤5.0,48,84,11.1
Galway ES,807,53.2,46.8,≤5.0,10,58.1,23.9,≤5.0,≤5.0,≤5.0,31.2,60,10.5
Garrett Park ES,797,54,46,≤5.0,16.1,12.9,20.1,≤5.0,43.3,7.3,22.7,16.3,6.4
Georgian Forest ES,585,53.5,46.5,≤5.0,6.7,27.9,53.5,≤5.0,8.7,≤5.0,32.6,77.8,10.6
Germantown ES,318,55.7,44.3,≤5.0,18.6,32.4,24.8,≤5.0,19.5,≤5.0,12.6,35.5,16.7
"William B. Gibbs, Jr. ES",744,50.5,49.5,≤5.0,29.3,25.7,16.9,≤5.0,20.3,7.8,12.6,35.2,13.8
Glen Haven ES,551,47.7,52.3,≤5.0,8.7,22.5,50.3,≤5.0,15.2,≤5.0,30.5,62.3,11.8
Glenallan ES,664,52.4,47.6,≤5.0,7.7,34.3,47.3,≤5.0,8.1,≤5.0,26.1,66.3,11.4
Goshen ES,575,52.3,47.7,≤5.0,10.8,25.6,35,≤5.0,22.4,5.9,19.5,43.7,12.5
Great Seneca Creek ES,698,51.6,48.4,≤5.0,12.3,29.7,26.2,≤5.0,26.1,5.4,13.3,38.1,10.6
Greencastle ES,759,53,47,≤5.0,7.4,69,19.4,≤5.0,≤5.0,≤5.0,15.4,64.8,10
Greenwood ES,477,48.8,51.2,≤5.0,9.4,7.5,10.3,≤5.0,65.4,7.3,6.7,8.8,7.1
Harmony Hills ES,743,51,49,≤5.0,5.2,16.2,74.3,≤5.0,≤5.0,≤5.0,51.5,87.3,9.7
Highland ES,558,53.9,46.1,≤5.0,≤5.0,14.3,71.3,≤5.0,5.9,≤5.0,52.9,79.4,10.8
Highland View ES,408,52.9,47.1,≤5.0,≤5.0,24.8,32.6,≤5.0,35.3,≤5.0,34.8,48,6.4
Jackson Road ES,691,52.5,47.5,≤5.0,9.1,53.1,32.6,≤5.0,≤5.0,≤5.0,28.2,78.4,13.5
Jones Lane ES,466,52.8,47.2,≤5.0,9.7,12.7,24.2,≤5.0,47,6,17.4,27.7,14.6
Kemp Mill ES,530,49.1,50.9,≤5.0,≤5.0,17.2,72.3,≤5.0,≤5.0,≤5.0,51.9,77.2,8.9
Kensington Parkwood ES,644,51.1,48.9,≤5.0,5.3,≤5.0,10.6,≤5.0,70.8,8.5,6.8,5.3,11.8
Lake Seneca ES,502,51.6,48.4,≤5.0,6.6,38.4,31.9,≤5.0,17.3,5.8,21.7,55.6,18.7
Lakewood ES,543,47.9,52.1,≤5.0,45.1,10.5,7.2,≤5.0,30.8,6.1,10.9,7,9.6
Laytonsville ES,412,55.8,44.2,≤5.0,7.5,15.5,18,≤5.0,52.2,6.3,6.3,18.7,15.5
JoAnn Leleck ES,822,50.7,49.3,≤5.0,≤5.0,13.3,82.2,≤5.0,≤5.0,≤5.0,65.8,94.2,7.8
Little Bennett ES,643,50.2,49.8,≤5.0,30.6,18.2,11.5,≤5.0,30.3,9.2,10.1,15.7,8.2
Luxmanor ES,429,49.4,50.6,≤5.0,24,11,18.6,≤5.0,38.9,7.2,23.5,17,11.2
Thurgood Marshall ES,664,53.5,46.5,≤5.0,18.2,16.3,28.5,≤5.0,31.9,≤5.0,14.9,31.2,14.6
Maryvale ES,620,46.1,53.9,≤5.0,9.7,26.5,31.1,≤5.0,25.2,7.3,25.3,41.9,7.9
Spark M. Matsunaga ES,856,49.6,50.4,≤5.0,36.3,19.4,13.6,≤5.0,24.9,5.7,11.3,18,6.3
S. Christa McAuliffe ES,640,49.1,50.9,≤5.0,8.3,37.8,29.7,≤5.0,16.4,7.5,21.7,49.1,9.5
Ronald McNair ES,837,49.9,50.1,≤5.0,30.1,22.3,16.4,≤5.0,24.7,6.2,17.8,25.7,6.8
Meadow Hall ES,462,55,45,≤5.0,10,11.5,53.5,≤5.0,21,≤5.0,23.2,53.5,18.6
Mill Creek Towne ES,374,55.6,44.4,≤5.0,10.2,12.8,44.4,≤5.0,27,5.1,31.8,50.3,22.5
Monocacy ES,166,59,41,≤5.0,≤5.0,7.8,11.4,≤5.0,71.7,6,5.4,18.7,13.3
Montgomery Knolls ES,474,56.8,43.2,≤5.0,6.3,24.3,51.1,≤5.0,16.2,≤5.0,48.9,65.6,16.9
New Hampshire Estates ES,498,51,49,≤5.0,≤5.0,17.9,77.3,≤5.0,≤5.0,≤5.0,63.1,91.8,7.2
Roscoe R. Nix ES,538,52.2,47.8,≤5.0,5.6,38.5,49.4,≤5.0,≤5.0,≤5.0,48.1,75.1,9.1
North Chevy Chase ES,387,52.5,47.5,≤5.0,5.2,16.5,15,≤5.0,56.3,7,8.3,12.4,10.9
Oak View ES,403,49.6,50.4,≤5.0,5.5,17.6,65.8,≤5.0,9.7,≤5.0,34,79.7,11.9
Oakland Terrace ES,480,48.3,51.7,≤5.0,7.7,12.5,29.8,≤5.0,40,9.6,15.6,30.6,15.2
Olney ES,647,53.2,46.8,≤5.0,14.5,15.6,15.3,≤5.0,47.6,7,10.8,19.3,7.6
William Tyler Page ES,421,48.2,51.8,≤5.0,16.9,54.6,20.7,≤5.0,5.9,≤5.0,23,51.1,6.7
Pine Crest ES,469,51,49,≤5.0,6.6,21.7,37.7,≤5.0,29.4,≤5.0,22.6,46.1,7.9
Piney Branch ES,563,51.7,48.3,≤5.0,≤5.0,35,19.5,≤5.0,36.4,5.5,15.6,33.7,8.9
Poolesville ES,417,48.4,51.6,≤5.0,5.3,≤5.0,10.8,≤5.0,74.6,≤5.0,5.3,10.6,9.4
Potomac ES,474,52.1,47.9,≤5.0,34.6,≤5.0,5.1,≤5.0,50.6,5.5,8.4,≤5.0,5.9
Judith A. Resnik ES,643,51.8,48.2,≤5.0,11.4,33,38.9,≤5.0,12.6,≤5.0,30.6,56.5,8.2
Dr. Sally K. Ride ES,514,55.4,44.6,≤5.0,17.5,40.3,25.5,≤5.0,11.9,≤5.0,20.4,49.6,20.4
Ritchie Park ES,532,48.9,51.1,≤5.0,22.4,9,18.8,≤5.0,43.6,5.6,11.8,21.8,6.6
Rock Creek Forest ES,708,47.9,52.1,≤5.0,5.4,16.2,33.2,≤5.0,38.6,6.2,16.5,26.3,9.6
Rock Creek Valley ES,435,49.9,50.1,≤5.0,15.9,10.1,37.5,≤5.0,28,8.3,20,31.3,21.8
Rock View ES,615,51.7,48.3,≤5.0,9.6,17.2,45.9,≤5.0,20.7,6,27.5,50.1,14.5
Lois P. Rockwell ES,459,50.5,49.5,≤5.0,11.8,11.1,23.3,≤5.0,47.9,5.9,10.7,19.8,19
Rolling Terrace ES,893,48.9,51.1,≤5.0,≤5.0,15.3,65.6,≤5.0,12.9,≤5.0,51.8,72.5,7.2
Rosemary Hills ES,610,51,49,≤5.0,≤5.0,24.9,13.3,≤5.0,52,5.9,17.5,27.7,8
Rosemont ES,588,53.9,46.1,≤5.0,8.8,25.5,48.8,≤5.0,11.9,≤5.0,44,60.4,12.8
Sequoyah ES,385,51.4,48.6,≤5.0,11.4,13.2,50.4,≤5.0,21.3,≤5.0,32.7,54.3,16.4
Seven Locks ES,398,48.2,51.8,≤5.0,18.8,7.8,10.1,≤5.0,54.8,8.3,13.6,5.3,6.3
Sherwood ES,513,53.6,46.4,≤5.0,13.5,18.3,13.5,≤5.0,50.3,≤5.0,5.8,19.5,17.5
Sargent Shriver ES,756,51.1,48.9,≤5.0,7.7,11.9,75.7,≤5.0,≤5.0,≤5.0,47,81.9,7.4
Flora M. Singer ES,735,53.7,46.3,≤5.0,6.9,13.6,39.2,≤5.0,35.9,≤5.0,27.9,41.2,17
Sligo Creek ES,647,51.9,48.1,≤5.0,≤5.0,24.1,11.4,≤5.0,52.2,7.4,10.4,13.4,9.3
Somerset ES,569,51.7,48.3,≤5.0,9,≤5.0,16.2,≤5.0,62.7,8.1,18.1,8.4,6.5
South Lake ES,814,52.9,47.1,≤5.0,6.6,27.6,60.2,≤5.0,≤5.0,≤5.0,52.2,85.7,5.5
Stedwick ES,580,52.9,47.1,≤5.0,5.2,30.9,43.3,≤5.0,13.8,6.4,34.3,60.3,11.7
Stone Mill ES,644,49.8,50.2,≤5.0,49.2,12.6,5.4,≤5.0,28.4,≤5.0,10.6,9.3,12.3
Stonegate ES,494,52.8,47.2,≤5.0,15.2,33,17.2,≤5.0,25.1,9.1,10.5,24.9,13.2
Strathmore ES,473,49.9,50.1,≤5.0,5.7,41.6,43.3,≤5.0,6.1,≤5.0,20.9,60.7,13.1
Strawberry Knoll ES,619,51.9,48.1,≤5.0,13.2,29.1,37.8,≤5.0,12.9,6.1,21,48,16.3
Summit Hall ES,674,53.1,46.9,≤5.0,≤5.0,20,70.5,≤5.0,≤5.0,≤5.0,51.6,81.2,10.8
Takoma Park ES,703,48.2,51.8,≤5.0,≤5.0,35.6,16.9,≤5.0,37.3,6.8,29,36,5.8
Travilah ES,389,46.5,53.5,≤5.0,45.5,5.4,5.4,≤5.0,38.6,≤5.0,10.8,6.2,5.9
Twinbrook ES,547,52.7,47.3,≤5.0,13,9.3,61.1,≤5.0,13,≤5.0,49,65.3,10.4
Viers Mill ES,681,50.8,49.2,≤5.0,9,10,61.7,≤5.0,16.4,≤5.0,43.6,67.1,17.3
Washington Grove ES,444,56.3,43.7,≤5.0,9,22.1,55.2,≤5.0,11.5,≤5.0,50.5,74.3,20.5
Waters Landing ES,705,49.5,50.5,≤5.0,5.4,37.9,35.3,≤5.0,14.6,6.5,23,52.3,10.2
Watkins Mill ES,672,52.1,47.9,≤5.0,8.5,33.5,49,≤5.0,≤5.0,≤5.0,45.2,75.6,17.1
Wayside ES,524,52.9,47.1,≤5.0,38.9,6.9,6.5,≤5.0,42,5.7,11.5,6.3,9.2
Weller Road ES,709,49.5,50.5,≤5.0,9.4,9.6,74.6,≤5.0,≤5.0,≤5.0,44.7,75.5,10
Westbrook ES,437,52.6,47.4,≤5.0,≤5.0,≤5.0,9.6,≤5.0,75.7,7.1,8.9,≤5.0,13.5
Westover ES,305,55.7,44.3,≤5.0,15.4,38.4,18.7,≤5.0,23,≤5.0,10.2,24.9,22
Wheaton Woods ES,532,48.7,51.3,≤5.0,8.1,27.8,58.1,≤5.0,≤5.0,≤5.0,44.9,82.7,8.3
Whetstone ES,786,51.9,48.1,≤5.0,8.3,26,52.5,≤5.0,9.4,≤5.0,39.4,60.9,14.8
Wilson Wims ES,921,51.5,48.5,≤5.0,40.3,15.2,12.6,≤5.0,24.4,7.3,9.3,11.3,≤5.0
Wood Acres ES,660,52.6,47.4,≤5.0,11.7,≤5.0,10.9,≤5.0,67.3,6.7,8.9,≤5.0,7.1
Woodfield ES,283,48.8,51.2,≤5.0,5.3,11.3,20.1,≤5.0,57.2,6,≤5.0,20.8,18.7
Woodlin ES,589,51.3,48.7,≤5.0,6.8,25.8,20.9,≤5.0,37.5,8.5,16.6,23.3,14.3
Wyngate ES,755,51.3,48.7,≤5.0,8.6,≤5.0,10.7,≤5.0,68.5,8.2,7.2,≤5.0,6.9
Argyle MS,912,57.2,42.8,≤5.0,10.3,30.6,45.5,≤5.0,10,≤5.0,13.2,58.4,9.9
John T. Baker MS,813,49.3,50.7,≤5.0,5.8,9.3,20.5,≤5.0,58.3,5.5,≤5.0,19.1,14.6
Benjamin Banneker MS,863,52.4,47.6,≤5.0,12.1,62.3,16.1,≤5.0,5.6,≤5.0,≤5.0,51,10.8
Briggs Chaney MS,866,49.2,50.8,≤5.0,14.3,53.1,19.6,≤5.0,8.3,≤5.0,7.6,48.8,10.4
Cabin John MS,941,52.5,47.5,≤5.0,28.1,11.5,7.5,≤5.0,47.7,5.2,6.8,7.7,15.3
Roberto W. Clemente MS,1277,51.5,48.5,≤5.0,25.8,25,28.3,≤5.0,15.2,5.4,5.1,33.9,9.6
Eastern MS,905,44.8,55.2,≤5.0,13.7,17.3,40.4,≤5.0,24.1,≤5.0,17,46.3,8.6
William H. Farquhar MS,595,47.9,52.1,≤5.0,13.3,18.2,14.3,≤5.0,48.4,5.9,≤5.0,12.4,10.3
Forest Oak MS,804,50.1,49.9,≤5.0,7.5,28.4,46.9,≤5.0,13.3,≤5.0,16.3,58.6,13.3
Robert Frost MS,1112,52,48,≤5.0,34.6,≤5.0,6.8,≤5.0,48,5.2,≤5.0,5.8,5.7
Gaithersburg MS,752,56.4,43.6,≤5.0,8,21.9,44.1,≤5.0,21.1,≤5.0,13.7,47.7,17.7
Herbert Hoover MS,1038,51.8,48.2,≤5.0,30.9,6.5,5.4,≤5.0,50.7,6.3,≤5.0,≤5.0,10.7
Francis Scott Key MS,979,52.1,47.9,≤5.0,10.3,43,40.7,≤5.0,≤5.0,≤5.0,13,70.7,9.2
"Dr. Martin Luther King, Jr.  MS",623,49.6,50.4,≤5.0,13.6,36.1,28.1,≤5.0,16.7,5.3,9.1,48.2,10.8
Kingsview MS,1034,48.8,51.2,≤5.0,27.5,21.2,13.8,≤5.0,32.1,5.3,≤5.0,18,8.1
Lakelands Park MS,1049,48.9,51.1,≤5.0,15.1,13.4,18.3,≤5.0,48.6,≤5.0,6.2,22,11.1
Col. E. Brooke Lee MS,691,54,46,≤5.0,9.3,25.5,54.6,≤5.0,7.1,≤5.0,18.4,66.7,13.9
A. Mario Loiederman MS,919,39.9,60.1,≤5.0,6.1,21.5,57.7,≤5.0,11.6,≤5.0,18.9,62.1,12.3
Montgomery Village MS,713,54.7,45.3,≤5.0,10,30.4,49.2,≤5.0,6.7,≤5.0,16,66.3,16.1
Neelsville MS,911,51,49,≤5.0,8.1,32.8,47.1,≤5.0,7.8,≤5.0,16.5,67.7,8.3
Newport Mill MS,587,50.8,49.2,≤5.0,11.1,16.5,48.4,≤5.0,19.6,≤5.0,15,49.4,18.4
North Bethesda MS,1028,53.9,46.1,≤5.0,11.9,5.8,12.5,≤5.0,63.1,6.4,5.7,5.9,10.2
Parkland MS,964,52.8,47.2,≤5.0,17.5,24.5,43.6,≤5.0,11,≤5.0,9.3,48.3,9.1
Rosa M. Parks MS,902,50.9,49.1,≤5.0,10.3,10.2,11.1,≤5.0,63.2,5.1,≤5.0,9.8,7
John Poole MS,332,52.7,47.3,≤5.0,≤5.0,≤5.0,10.8,≤5.0,75,≤5.0,≤5.0,11.1,9.6
Thomas W. Pyle MS,1516,51.3,48.7,≤5.0,11.2,≤5.0,7.9,≤5.0,72.1,6.5,5.9,≤5.0,8.5
Redland MS,550,50.2,49.8,≤5.0,11.3,17.6,36.4,≤5.0,30.5,≤5.0,11.1,37.1,11.1
Ridgeview MS,746,50.8,49.2,≤5.0,13.9,15.4,25.2,≤5.0,39.8,5.5,6.3,30,8.3
Rocky Hill MS,1279,48.9,51.1,≤5.0,27.4,23.5,14.6,≤5.0,28.3,5.9,≤5.0,19.9,8.3
Shady Grove MS,565,52.7,47.3,≤5.0,11.5,20.2,35.9,≤5.0,25.7,6.5,9,40.5,11.2
Silver Spring International MS,1042,48.8,51.2,≤5.0,5.1,24.2,37.9,≤5.0,27.8,≤5.0,12.7,42.3,10.6
Sligo MS,625,49.8,50.2,≤5.0,8.2,22.4,41.1,≤5.0,25.1,≤5.0,11.7,44,13.1
Takoma Park MS,1055,52.1,47.9,≤5.0,20.2,28.9,15.4,≤5.0,30.1,5.3,8.2,24.7,6.4
Tilden MS,850,55.2,44.8,≤5.0,17.6,7.4,19.3,≤5.0,48.9,6.4,16.5,11.6,15.1
Julius West MS,1279,52.5,47.5,≤5.0,21,14.1,25.3,≤5.0,33.5,6,11.7,26.4,7.5
Westland MS,1260,51.4,48.6,≤5.0,5.5,10.5,14.4,≤5.0,64.4,≤5.0,9,10.6,8.4
White Oak MS,760,53.8,46.2,≤5.0,10.8,31.3,46.1,≤5.0,9.5,≤5.0,18,61.7,10
Earle B. Wood MS,970,51.6,48.4,≤5.0,11.4,13.3,38.4,≤5.0,32.2,≤5.0,9.3,35.7,13.4
Bethesda-Chevy Chase HS,2006,51.4,48.6,≤5.0,5.4,14.8,17.6,≤5.0,56.3,5.7,8.9,12,8.6
Montgomery Blair HS,2882,50.8,49.2,≤5.0,15.3,25.5,32.3,≤5.0,22.7,≤5.0,15.5,36.3,6.7
James Hubert Blake HS,1579,42.9,57.1,≤5.0,9.2,41.6,22.9,≤5.0,21.5,≤5.0,≤5.0,33.9,10.1
Winston Churchill HS,2093,53.4,46.6,≤5.0,23.2,8.4,8.3,≤5.0,55.2,≤5.0,≤5.0,≤5.0,12.5
Clarksburg HS,1989,49.9,50.1,≤5.0,18.4,28,26.6,≤5.0,22.7,≤5.0,6.9,29.6,8.9
Damascus HS,1209,49.4,50.6,≤5.0,6.8,10.5,17.1,≤5.0,60,≤5.0,≤5.0,15.1,13.2
Thomas Edison HS of Technology,506,70.8,29.2,≤5.0,≤5.0,22.5,51.6,≤5.0,18.4,≤5.0,17,43.9,30.2
Albert Einstein HS,1689,45.7,54.3,≤5.0,9.7,19.8,47.2,≤5.0,20.2,≤5.0,14,43.8,14.5
Gaithersburg HS,2306,53.5,46.5,≤5.0,8.1,25.6,45.6,≤5.0,16.8,≤5.0,20.3,42.8,14.1
Walter Johnson HS,2289,51.7,48.3,≤5.0,11.1,9.7,17.2,≤5.0,55.9,5.8,8.1,7.1,11
John F. Kennedy HS,1549,51.8,48.2,≤5.0,7.4,32.2,53.2,≤5.0,5.4,≤5.0,21.4,48.9,14.4
Col. Zadok Magruder HS,1513,52.9,47.1,≤5.0,14.3,18.7,35.4,≤5.0,26.7,≤5.0,9.8,33.8,10.3
Richard Montgomery HS,2244,49.5,50.5,≤5.0,25.5,15.2,23.4,≤5.0,30.5,≤5.0,11.1,18.4,6.8
Northwest HS,2255,49.6,50.4,≤5.0,18,28.1,19.8,≤5.0,28.8,5.1,≤5.0,26,10.4
Northwood HS,1579,50,50,≤5.0,6.3,24.6,52.8,≤5.0,13.8,≤5.0,22.5,50.4,12.5
Paint Branch HS,1996,52,48,≤5.0,14.1,55.6,17.2,≤5.0,9.3,≤5.0,≤5.0,36.4,10.2
Poolesville HS,1205,49.5,50.5,≤5.0,28.5,5.1,8,≤5.0,51.5,6.4,≤5.0,7.1,≤5.0
Quince Orchard HS,1924,49.9,50.1,≤5.0,13.1,14.7,23.8,≤5.0,44,≤5.0,8.7,22.4,7.8
Rockville HS,1342,54.7,45.3,≤5.0,11.3,13.3,38.7,≤5.0,32.7,≤5.0,11.9,33.3,16.3
Seneca Valley HS,1198,50.4,49.6,≤5.0,11.4,36,29.1,≤5.0,19.6,≤5.0,11.9,38.4,12.9
Sherwood HS,1890,49.8,50.2,≤5.0,11.7,16.9,15.2,≤5.0,52.2,≤5.0,10.2,17.2,10.1
Springbrook HS,1790,57.6,42.4,≤5.0,11.3,41.8,35.1,≤5.0,8,≤5.0,14.9,44,9.7
Watkins Mill HS,1524,55.3,44.7,≤5.0,8.7,31.6,43.1,≤5.0,11.7,≤5.0,20,51.4,12.9
Wheaton HS,1554,59.2,40.8,≤5.0,12.1,26.4,50.7,≤5.0,8.4,≤5.0,18.9,47.6,11.1
Walt Whitman HS,1977,49.5,50.5,≤5.0,13.2,≤5.0,9.3,≤5.0,69,≤5.0,8.8,≤5.0,9.5
Thomas S. Wootton HS,2206,50.3,49.7,≤5.0,35.5,6.6,7.6,≤5.0,46.2,≤5.0,≤5.0,5.5,6.3
